Drift_Type,Environment,IR,Detector,gmean,mtd,mtfa,mtr
sudden,Synthetic,1:10,KSWIN,84.32,137.5,46518.45,191.96
sudden,Synthetic,1:10,PH,84.43,50.6,15203.89,274.8
sudden,Synthetic,1:100,ADWIN,60.58,229.1,2281.64,42.21
sudden,Synthetic,1:100,AEDD,78.85,65.0,99740.0,1844.65
sudden,Synthetic,1:100,D3,78.06,99.0,66402.66,670.73
sudden,Synthetic,1:100,DDM,73.02,103.6,15223.82,142.21
sudden,Synthetic,1:100,KSWIN,70.44,98.5,8284.72,103.77
sudden,Synthetic,1:100,PH,64.25,214.6,3047.54,22.25
sudden,Synthetic,1:20,ADWIN,81.73,31.9,11366.78,340.72
sudden,Synthetic,1:20,AEDD,84.81,112.2,99577.6,1001.59
sudden,Synthetic,1:20,D3,84.25,99.0,43156.73,425.79
sudden,Synthetic,1:20,DDM,81.52,89.9,17524.42,187.2
sudden,Synthetic,1:20,KSWIN,81.17,101.28,11241.31,95.22
sudden,Synthetic,1:20,PH,81.05,58.0,10559.84,175.85
sudden,Synthetic,1:30,ADWIN,79.92,28.0,9386.86,340.53
sudden,Synthetic,1:30,AEDD,82.88,79.6,99609.6,1217.83
sudden,Synthetic,1:30,D3,82.95,99.0,73052.73,673.14
sudden,Synthetic,1:30,DDM,79.55,85.7,10797.06,115.33
sudden,Synthetic,1:30,KSWIN,78.79,141.5,11654.05,99.77
sudden,Synthetic,1:30,PH,79.2,67.5,9776.28,136.04
sudden,Synthetic,1:40,ADWIN,78.84,28.3,8362.32,235.83
sudden,Synthetic,1:40,AEDD,83.27,70.6,99695.2,1339.39
sudden,Synthetic,1:40,D3,82.26,99.0,40505.63,409.15
sudden,Synthetic,1:40,DDM,79.43,85.6,10993.37,107.36
sudden,Synthetic,1:40,KSWIN,78.28,92.65,7348.9,69.72
sudden,Synthetic,1:40,PH,78.04,79.25,9139.03,135.17
sudden,Synthetic,1:50,ADWIN,75.03,32.1,6078.69,106.93
sudden,Synthetic,1:50,AEDD,81.88,75.4,99675.2,1442.41
sudden,Synthetic,1:50,D3,80.55,99.0,53122.13,536.59
sudden,Synthetic,1:50,DDM,76.88,95.5,10675.91,83.2
sudden,Synthetic,1:50,KSWIN,77.07,128.2,10106.44,106.68
sudden,Synthetic,1:50,PH,74.2,101.6,6097.19,62.48
sudden,Synthetic,1:60,ADWIN,75.7,54.4,6181.92,189.94
sudden,Synthetic,1:60,AEDD,81.69,64.0,99744.0,1597.42
sudden,Synthetic,1:60,D3,81.13,99.0,71382.87,721.04
sudden,Synthetic,1:60,DDM,76.16,85.5,9154.4,95.16
sudden,Synthetic,1:60,KSWIN,77.18,95.5,8683.15,80.92
sudden,Synthetic,1:60,PH,74.19,72.0,6783.67,106.04
sudden,Synthetic,1:70,ADWIN,69.08,132.0,3905.36,118.25
sudden,Synthetic,1:70,AEDD,80.28,57.8,99768.8,1765.17
sudden,Synthetic,1:70,D3,79.53,99.0,51462.07,519.82
sudden,Synthetic,1:70,DDM,75.24,108.4,27949.22,244.97
sudden,Synthetic,1:70,KSWIN,74.68,78.7,9915.58,122.72
sudden,Synthetic,1:70,PH,69.4,136.2,4362.38,52.45
sudden,Synthetic,1:80,ADWIN,57.93,263.8,2359.52,34.42
sudden,Synthetic,1:80,AEDD,76.37,61.0,99756.0,1906.64
sudden,Synthetic,1:80,D3,74.92,129.0,51442.07,499.54
sudden,Synthetic,1:80,DDM,75.58,122.7,20092.85,169.95
sudden,Synthetic,1:80,KSWIN,69.73,73.2,9578.2,129.38
sudden,Synthetic,1:80,PH,61.07,195.3,2970.22,33.57
sudden,Synthetic,1:90,ADWIN,55.22,366.0,1995.42,6.44
sudden,Synthetic,1:90,AEDD,75.3,49.2,99803.2,2105.81
